revision ;sentimiento
"Phil the Alien es una de esas películas extravagantes donde el humor se basa en lo extraño de todo en lugar de en los chiste reales.<br /><br />Al principio fue muy extraño y bastante divertido, pero a medida que avanzaba la película ya no lo hice. Ya no encuentro divertidos los chistes o las rarezas.<br /><br />Es una película de bajo presupuesto (eso nunca es un problema en sí mismo), había algunos personajes bastante interesantes, pero finalmente perdí el interés.<br /><br />Imagino que esta película atraerá a un fumeta que esté fumando actualmente.<br /><br />Para algo similar pero mejor, prueba con ""Hermano de otro planeta"", .";negativo
Vi esta película cuando tenía 12 años cuando salió. Recuerdo que la escena más aterradora fue la de los grandes hombres devoradores de pájaros colgando impotentes de paracaídas en el aire. El horror. El horror.<br /><br />Cuando era un niño que iba a esas películas cursis de serie B los sábados por la tarde, todavía estaba cansado de la fórmula de estas películas de monstruos que generalmente incluían al héroe, una mujer hermosa que podría ser la hija de un profesor y una feliz resolución cuando el monstruo finalmente murió. No me importaba mucho el ángulo romántico cuando tenía 12 años y las tramas predecibles. Ahora los amo por el humor involuntario.<br /><br />Pero, aproximadamente un año después, vi Psicosis cuando salió y me encantó que la estrella, Janet Leigh, fuera eliminada al principio de la película. . Me senté y me di cuenta en ese momento. Dado que los guionistas están inventando la historia, hazla lo más aterradora posible y no a partir de una fórmula trillada. No hay reglas.,;negativo
"Así que no soy un gran admirador del trabajo de Boll, pero tampoco muchos lo son. Disfruté su película Postal (tal vez sea la única). Aparentemente, Boll compró los derechos para usar Far Cry hace mucho tiempo, incluso antes de que el juego estuviera terminado. <br /><br />Las personas que han disfrutado matando mercenarios e infiltrándose en laboratorios de investigación secretos ubicados en una isla tropical deben ser advertidas de que esto no es Far Cry... Esto es algo que el Sr. Boll ha planeado junto con su legión de idiotas... Sintiéndose solo en el set, el Sr. Boll invita a jugar con tres de sus compatriotas. Estos jugadores se llaman Til Schweiger, Udo Kier y Ralf Moeller.<br /><br />Tres nombres que realmente se han hecho bastante grandes en el negocio del cine. Entonces la historia dice así, Jack Carver interpretado por Til Schweiger (sí, Carver es alemán, ¡¡todos saludan a los tipos que comen salchichas!!). Sin embargo, encuentro que la actuación de Tils en esta película es bastante ruda. La gente se ha quejado de que en realidad no se queda. fiel a toda la agenda de Carver, pero solo vimos a Carver en una perspectiva en primera persona, por lo que no sabemos realmente cómo se veía cuando estaba pateando un **. <br /><br />Sin embargo, la historia en este La película es más que demente. Vemos al malvado científico loco Dr. Krieger interpretado por Udo Kier, creando soldados genéticamente mutados o GMS, como se les llama. Realizando su investigación ultrasecreta en una isla que por alguna razón me recuerda a ""SPOILER"" Vancouver. Así es, aquí no hay palmeras. En su lugar, obtuvimos unos bonitos y ricos bosques de leñadores. Ni siquiera habíamos ido MUCHO cuando comencé a LLORAR (mejeje). No puedo seguir más. Si quieres ser fiel a las travesuras de Boll, ve a ver esta película, no te decepcionarás, ofrece la verdadera experiencia de Boll, es decir. la mayor parte será una mierda.<br /><br />Hay algunas cosas que vale la pena mencionar y que implicarían que Boll hizo un buen trabajo en algunas áreas de la película, como algunos bonitos barcos y escenas de lucha. Hasta que todo el escuadrón GMS cromado/albino entra en escena y todo me hace reír... La película Far Cry apesta a scheisse (eso es caca para ustedes, tontos) de lejos, si quieren echar un vistazo, adelante... Por cierto, Carver tiene un compañero muy molesto que te hace querer dispararle los primeros tres minutos que está en la pantalla. ";Negativo
El elenco interpretó a Shakespeare.<br /><br />Shakespeare perdió.<br /><br />Aprecio que esto sea un intento de llevar a Shakespeare a las masas, pero ¿por qué arruinar algo tan bueno?<br /><br />¿Es porque 'La obra escocesa' es mi Shakespeare favorito? No lo sé. Lo que sí sé es que un tal Rev Bowdler (de ahí la bowdlerización) intentó hacer algo similar en la época victoriana.<br /><br />En otras palabras, no se puede mejorar la perfección.<br /><br />I No tengo más que escribir, pero como tengo que escribir al menos diez líneas de texto (y la composición en inglés nunca fue mi fuerte, tendré que seguir adelante y decir que esta película, como dice el dicho, simplemente no es suficiente). ;negativo
Esta es una película fantástica de tres prisioneros que se hacen famosos. Uno de los actores es george clooney y no soy fan pero este rollo no está mal. Otra cosa buena de la película es la banda sonora (El hombre del dolor constante). Recomiendo esta película a todo el mundo. Saludos Bart, .;positivo
Un poco atraído por las escenas eróticas, solo para darme cuenta de que esta era una de las películas más amateurs e increíbles que he visto en mi vida. Algo así como un proyecto cinematográfico de secundaria. ¿Qué estaba pensando Rosanna Arquette? ¿Y qué pasaba con todos esos personajes comunes en esa supuesta extraña ciudad del Medio Oeste? Es bastante difícil involucrarse con este. No hay lecciones que aprender de ello, ni ideas brillantes, sólo tonterías forzadas y bastante ridículas (pero mucha piel, si eso te intriga) grabadas en vídeo... ¿Qué pasó con la relación bisexual, de la nada, después de todos los encuentros heterosexuales? . ¿Y qué pasaba con ese baile absurdo, en el que todos desempeñaban sus papeles estereotipados? Dale un pase a esto, es como un millón de millas de películas malas y desperdiciadas, dinero que podría haberse gastado en niños hambrientos o en el SIDA en África..., .;negativo
Algunas películas simplemente no deberían rehacerse. Este es uno de ellos. En sí misma no es una mala película. Pero no logra capturar el sabor y el terror de la película de 1963 del mismo título. Liam Neeson estuvo excelente como siempre, y la mayor parte del elenco se mantiene firme, con la excepción de Owen Wilson, quien simplemente no le dio la sensación adecuada al personaje de Luke. Pero el principal defecto de esta versión es que se alejó demasiado de la historia de Shirley Jackson en sus intentos de ser grandiosa y perdió algo de la emoción de la película anterior en un intercambio por efectos especiales más elegantes. Una vez más diré que en sí misma no es una mala película. Pero disfrutarás mucho más de la fricción del terror en la versión anterior.,;positivo
Esta película se convirtió en una de mis 10 películas más horribles. Horrible. <br /><br />No hubo un minuto continuo en el que no hubiera una pelea con un monstruo u otro. No había posibilidad de desarrollo del personaje, estaban demasiado ocupados corriendo de una pelea de espadas a otra. No tenía ningún apego emocional (excepto a la gran máquina mala que quería destruirlos). <br /><br />Las escenas fueron robadas descaradamente de otras películas, LOTR, Star Wars y Matrix. <br /><br />Ejemplos<br /><br />>La escena del fantasma al final fue robada de la escena final de la antigua Star Wars con Yoda, Obee One y Vader. <br /><br />>La máquina araña al principio era exactamente como Frodo siendo atacado por la araña en El retorno de los reyes. (Elijah Wood es la víctima en ambas películas) y espera... hipnotiza (pica) a su víctima y la envuelve... ¿uh hola????<br /><br />>Y todo el tema de la máquina contra los humanos ERA Matrix... o Terminator.....<br /><br />Hay más ejemplos, pero ¿por qué perder el tiempo? ¡¿Y alguien me dirá qué pasó con los nazis?!?! nazis???? <br /><br />Hubo una historia juvenil que se apresuró a llegar a una conclusión juvenil. La película no podía decidir si era una película para niños o una película para adultos y tampoco era gran cosa. <br /><br />Simplemente horrible. Una verdadera decepción por decir lo menos. Ahorre su dinero.,;negativo
Recuerdo esta película, fue la primera que vi en el cine, la imagen estaba oscura en algunos lugares y estaba muy nervioso, fue en 74/75, mi papá me llevó a mi hermano y a mi hermana al cine Newbury en Newbury Berkshire, Inglaterra. Recuerdo los tigres y la mucha nieve en la película, también la aparición del actor de Grizzly Adams, Dan Haggery. Creo que uno de los tigres recibe un disparo y muere. Si alguien sabe dónde encontrar esto en DVD, etc., hágamelo saber. El cine ahora se ha convertido en un gimnasio, lo cual es una gran lástima ya que el cine más cercano ahora está a 20 millas de distancia. Me encantaría saber de otras personas que lo hayan visto. esta película o cualquier otra similar.,;positivo
"¡Una película horrible! Debe haber tenido que enfrentarse a algunos verdaderos apestosos para ser nominado al Globo de Oro. Han tomado la historia de la primera pintora famosa del Renacimiento y la han destrozado hasta dejarla irreconocible. Mi queja no es que se hayan tomado libertades con los hechos; Si la historia fuera buena, estaría perfectamente bien. Pero es simplemente extraño: según todos los indicios, la verdadera historia de este artista habría sido una película mucho mejor, entonces, ¿por qué se les ocurrió este guión aburrido? Supongo que en la versión real no había suficientes personas desnudas. Al final se remata apresuradamente con un resumen de la vida del artista; podríamos habernos ahorrado un par de horas si hubieran preferido el resto de la película con la misma brevedad.";Negativo
"Después del éxito de Duro de matar y sus secuelas, no sorprende realmente que en la década de 1990, un exceso de películas de 'Duro de matar en....' sacaran provecho del concepto del tipo equivocado, el lugar equivocado y el momento equivocado. Eso es lo que hicieron con Cliffhanger, Die Hard en una montaña justo a tiempo para rescatar la carrera de Sly 'Stop or My Mom Will Shoot' Stallone.<br /><br />Cliffhanger es el gran sueño de los quisquillosos, especialmente para aquellos que son expertos en montañismo, salto base, aviación, expresiones faciales y habilidades de actuación. Considerándolo todo, está lleno de excusas para descartar la película como un montón de basura exagerada. ¡Stallone incluso logró ser superado por un caballo! Sin embargo, si olvidas todas las tonterías, en realidad es un juego muy adorable e innegablemente entretenido que ofrece muchas emociones y, sin querer, muchas risas.<br /><br />Tienes que amar la burla de John Lithgow. maldad, su banda de malos que cumple todos los requisitos y, lo mejor de todo, el desventurado y acosado agente 'tránsfuga', Rex Linn como Travers.<br /><br />Pudo haber sido Henry en 'Retrato de un asesino en serie'. ' pero Michael Rooker se destaca por una actuación vergonzosa como Hal, insiste en gritar constantemente con dolorosa incredulidad a sus captores 'ese hombre nunca lastimó a nadie' Y aunque seguramente no puede serlo, realmente se parece al Frank de Ralph Waite. El personaje sonríe mientras la chica cae en picado hacia su muerte. <br /><br />También hay que mencionar al ex actor de 'London's Burning' Craig Fairbrass como el malo británico, que se desmorona mientras usa a Hal como balón de fútbol humano. sí, no puedes evitar disfrutar esa parte, Hal necesitaba una buena patada.<br /><br />Así que olvida tu mejor juicio, a quién le importa si ""eso nunca podría suceder"", baja tus expectativas de actuación, sube el volumen. ¡y disfrutar! Y si estás buscando a Qaulen, él es el que lleva el helicóptero.,";positivo
"Tuve la terrible desgracia de tener que ver esta ""película B"" en su totalidad.<br /><br />Todo lo que tengo que decir es--- ¡¡¡ahorre tiempo y dinero!!! Esta tiene que ser la peor película de serie B de todos los tiempos, ni siquiera debería llamarse película de serie B, ¡más bien una película de serie F! Porque falla en todos los aspectos que caracterizan a una buena película: la historia no es nada interesante, todos los actores son finos como el papel y nada creíbles, tiene mala dirección y las secuencias de acción son tan falsas que casi resultan divertidas. .....casi.<br /><br />La película está repleta de chistes cutres que ninguna persona respetable podría encontrar divertida en lo más mínimo.<br /><br />Esta película es Se supone que está dirigido a hombres, pero todas las mujeres que aparecen son TAN absolutamente poco atractivas, especialmente esa cosa vieja y arrugada que aparece hacia el final. ¡¡¡Intentan parecer sexys con esos disfraces extraños y horribles y fracasan estrepitosamente!!!<br /><br />Incluso algunas de las películas de serie B más ridículas te harán reír, pero esto es demasiado doloroso de ver. !!,";negativo
¡Qué película tan impresionante! Si tienes 2,5 horas para matar, mírala, no te arrepentirás, ¡es muy divertida! Rajnikanth lleva la película sobre sus hombros y aunque no hay nada más aparte de él, igual me gustó. La música de A.R.Rehman tarda en asimilarse, pero después de escucharla varias veces, realmente empieza a gustarte. ;Positivo
"En primer lugar, aclaremos algunas cosas: a) SOY un fanático del anime; de ??hecho, siempre lo he sido (solía ver Speed ??Racer todo el tiempo en preescolar). b) ME gustan varias películas de serie B porque son divertidísimas. c) Me gustan mucho las películas de Godzilla.<br /><br />Continuando, cuando la película aparece por primera vez, parece que será una película B habitual, hasta los efectos especiales de mierda, pero todo un repentino- ¡BOOM! ¡El anime viene! Aquí es cuando la película va cuesta abajo WWWAAAAAYYYYY.<br /><br />La animación es MUY mala y barata, incluso peor de lo que recuerdo de SPEED RACER, ¡por Dios! De hecho, es tan barato que una de las pocas escenas de la película que recuerdo ""vívidamente"" es cuando un grupo de niños salen corriendo de una escuela... ¡y son los mismos niños una y otra vez! Los FX también son terribles; Los dinosaurios se ven peor que Godzilla. Además, la transición de la acción en vivo a la animación no está organizada, el diálogo y las voces (especialmente el doblaje en inglés que vi) eran horribles y le estaba rogando a mi papá que sacara la cinta del reproductor de DVD/VHS; Lo único que me mantuvo sobreviviendo fue contar chistes y comentarios como los robots y Joel/Mike en MST3K (tú eliges la temporada). Honestamente, esta es la única manera de disfrutar esta película y sobrevivir al mismo tiempo.<br /><br />Diablos, estoy planeando mostrársela a otro amigo otaku mío en Halloween para una B- Noche de película. Debido a que es estúpida, bastante dolorosa de ver e involuntariamente hilarante al mismo tiempo, le doy a esta película un 3/10, una mejora del 0,5/10 que le iba a dar originalmente.<br /><br /> (Según mi escala de calificaciones: 3/10 significa bastante aburrido y malo. Tan divertido como contar hasta tres, a menos que encuentres una manera de burlarte de ello, será tan divertido como contar hasta 15), ";negativo
¡Esta fue la peor película que vi en el WorldFest y también recibió la menor cantidad de aplausos después! Sólo puedo pensar que está recibiendo tal reconocimiento por la cantidad de actores conocidos en la película. Es genial ver a J.Beals, pero solo aparece en la película unos minutos. M. Parker es una actriz mucho mejor de lo que el papel permitía. El resto de la actuación es difícil de juzgar porque la película es muy ridícula y predecible. El personaje principal es totalmente antipático y, por lo tanto, resulta aburrido verlo. No hay una verdadera profundidad emocional en la historia. Una película que trata sobre un actor que no consigue trabajo no me parece muy original. Tampoco el desarrollo del policía. Se siente como una de las muchas películas directamente en video que vi en los años 90... Y ni siquiera una buena en esos estándares.<br /><br />,;negativo
La historia de Karen Carpenter muestra un poco más sobre la compleja vida de la cantante Karen Carpenter. Aunque no proporciona datos ni detalles precisos.<br /><br />Cynthia Gibb (interpreta a Karen) no fue una buena elección. Es una buena actriz, pero interpreta a una Karen Carpenter muy ingenua y algo tonta. Creo que el papel necesitaba un carácter más fuerte. Alguien con una personalidad más fuerte.<br /><br />El papel de Louise Fletcher como Agnes Carpenter es fantástico, hace un gran trabajo como la madre de Karen.<br /><br />Tiene grandes canciones, que podrían haberse incluido. en un álbum de banda sonora. Desafortunadamente no fue así, aunque esta película estuvo en la cima de las calificaciones en EE. UU. y otros países, lo cual es positivo.;positivo
Esta película intentó ser demasiadas cosas a la vez: sátira política punzante, éxito de taquilla de Hollywood, comedia romántica cursi, promoción de valores familiares... la lista sigue y sigue. Fracasó estrepitosamente en todos ellos, pero hubo suficiente interés como para evitar que lo apagara hasta el final.<br /><br />Aunque aprecio el espíritu detrás de WAR, INC., me deprime ver tal esfuerzo torpe, especialmente cuando sus objetivos lo interpretarán como un reflejo de la falta de existencia de una crítica seria, en lugar de simplemente la mala escritura, dirección y producción de esta película en particular.<br /><br />Hay una crítica a la corporativización de la guerra. Pero burlarse de ello de esta manera disminuye la verdadera atrocidad de lo que está sucediendo. Me recuerda un poco a Reyes Magos, lo que igualmente trivializa un motivo genuino de preocupación. ;Negativo
"Esta película fue muy frustrante. Todo parecía enérgico y yo estaba totalmente preparado para pasar un buen rato. Al menos pensé que sería capaz de soportarlo. Pero estaba equivocado. Primero, ¿el bucle extraño? Fue como ver ""Los vídeos caseros más divertidos de Estados Unidos"". Los malditos padres. Los odiaba mucho. ¿La estereotipada familia latina? Necesito hablar con la persona responsable de esto. Necesitamos tener una charla. ¿Esa niña que siempre estaba colgada de alguien? Simplemente la odiaba y tenía que mencionarlo. Ahora, la escena final trasciende, debo decir. Es tan gloriosamente mala y llena de maldad que es una película en sí misma. Que baile de mierda. Horrible y hermosa a la vez.,";negativo
"Tensa y orgánicamente apasionante, Crossfire de Edward Dmytryk es un distintivo thriller de suspense, una película de ""mensaje"" improbable que utiliza la apariencia y los recursos del ciclo negro.<br /><br />Acampado en Washington, DC, una compañía de soldados se enfrenta a su inquietud frecuentando bares. Tres de ellos terminan en el apartamento de un extraño donde Robert Ryan, borracho y beligerante, mata a golpes a su anfitrión (Sam Levene) porque resulta ser judío. El detective de policía Robert Young investiga con la ayuda de Robert Mitchum, asignado al equipo de Ryan. Las sospechas recaen sobre el segundo de los tres (George Cooper), desaparecido. Ryan mata al tercer amigo (Steve Brodie) para asegurar su silencio antes de que Young se acerque.<br /><br />Con la complicidad de un guión superior de John Paxton, Dmytryk extrae interpretaciones precisas de sus tres Bobs protagonistas. Ryan, naturalmente, hace su prototípico Hombre Blanco Enojado (y hasta el fondo), mientras que Mitchum minimiza con su característica alerta indiferencia (su papel, sin embargo, no es central); Puede que los jóvenes nunca hayan sido mejores. Gloria Grahame ofrece su primera interpretación completa del vagabundo vulnerable y de boca inteligente y, como un triste saco que se ha infiltrado en su vida, Paul Kelly nos persigue en un papel pequeño y periférico que hace memorable.<br />< br />El Dmytryk, políticamente comprometido, tal vez sucumbe inevitablemente a los sermones, pero se limita en gran medida a la reminiscencia de Young de cómo su abuelo irlandés murió a manos de fanáticos un siglo antes (lo que, dicho sea de paso, lleva la cronología al límite). Al menos no hay ningún intento de ofrecer una explicación, por simplista que sea, de por qué Ryan odia a los judíos (y a los paletos y...).<br /><br />Curiosamente, Crossfire sobrevive incluso al cambio más importante que se le produjo: la novela. está basado en (The Brick Foxhole de Richard Brooks) que trata sobre un asesinato en el que se ataca a los homosexuales. Pero en 1947 la homosexualidad todavía estaba más allá de los límites. Sin embargo, las noticias sobre el Holocausto habían comenzado a surgir de las cenizas de Europa, por lo que Hollywood se sintió envalentonado para registrar su protesta contra el antisemitismo (los estudios siempre temblaban ante la perspectiva de ofender a cualquier posible comprador de entradas).<br />< br />Pero si bien el cambio de la homofobia al antisemitismo funciona en general, los detalles no encajan tan fácilmente. Que la víctima converse con un joven soldado borracho y solitario y luego lo invite a regresar a casa parece extraño, a pesar de (o especialmente porque) hay una novia a cuestas. Plantea la pregunta de si este escenario se mantuvo inadvertidamente o se dejó como un discreto aviso del motor original que generó la ira asesina de Ryan.";positivo
"""Ardh Satya"" es una de las mejores películas jamás realizadas en el cine indio. Dirigido por el gran director Govind Nihalani, este es el cine paralelo más exitoso y también resultó ser un éxito comercial. Incluso hoy en día, Ardh Satya sigue siendo una inspiración para todos los directores destacados de la India.<br /><br />La película cuenta el escenario de la vida real de la policía de Mumbai de los años 70. A diferencia de la policía de otras ciudades de la India, la policía de Mumbai abarca un sistema completamente diferente. Govind Nihalani crea un Outlay muy práctico con un enfoque de la vida real del entorno policial de Mumbai.<br /><br />Entre varios oficiales de policía y colegas, la película describe la historia de Anand Velankar, un joven policía apasionado que viene de una zona pobre. familia. Su padre es un duro agente de policía. El propio Anand sufre las ideologías de su padre y las incidencias de las atrocidades de su padre sobre su madre. El enfoque de Anand hacia la acción inmediata contra el crimen es un anhelo inerte de satisfacción en su propio trabajo. La película gira aquí en una trama en la que los constantes esfuerzos de Anand contra el crimen son pisoteados por sus superiores. Esto le genera frustración, ya que no puede lograr la satisfacción laboral deseada. Como resultado de las frustraciones, su ira se expresa en violencia excesiva en las salas de prisión preventiva y bares, lo que también lo convierte en un alcohólico.<br /><br />El Espíritu dentro de él todavía está vivo, mientras lucha constantemente contra el sistema. Él es consciente del sistema del Metro, donde la policía y los políticos están inertemente asociados en un extremo lejano. Su compromiso con la práctica poco ética es negativo. Finalmente lo suspenden.<br /><br />La dirección es una obra maestra y completamente dura. Una de las escenas más memorables es cuando Anand irrumpe en la casa del gángster del inframundo Rama Shetty para arrestarlo, seguido de una breve conversación que es fantástica. En muchas escenas, la película tiene momentos espeluznantes.<br /><br />El enfoque práctico del guión es un gran impacto. El alcoholismo, la corrupción, la influencia política, el coraje y los engaños son parte integral de la policía de Mumbai incluso hoy en día. Esos aspectos se tratan de manera brillante.<br /><br />Finalmente, la película pertenece al One Man Show, Om Puri interpreta a Anand Velankar atravesando todas sus emociones de manera absolutamente brillante.,";positivo
"Mi primera exposición a los Templarios y no fue buena. Me emocionó encontrar este título entre las ofertas de Anchor Bay Video, que nos ha traído otros clásicos de culto como ""Spider Baby"". La calidad de impresión es excelente, pero esto por sí solo no puede ocultar el hecho de que la película es mortalmente aburrida. Hay una emocionante secuencia inicial en la que los aldeanos se vengan terriblemente de los Templarios (y ponen todo en marcha), pero todo lo demás en la película es lento, pesado y, en última instancia, insatisfactorio. Para colmo de males: la película fue doblada, no subtitulada, como se prometió en la portada del video. ";Negativo
